GeneID	GOTerms_num	GO_Anno	KEGG_entry	KEGG_url	KOG_class	KOG_class_annotation	NR_ID	E_value	Identity	Score	Annotation	NT_ID	E_value	Identity	Score	Annotation	Swissprot_ID	E_value	Identity	Score	Annotation	category
HJ_1-10k_transcript/134026	--	--	--	--	--	--	ONK65388.1	1.90E-195	397/600(66.17)	6.88E+02	uncharacterized protein A4U43_C07F36590 [Asparagus officinalis]	XM_020417642.1	0	1405/1747(80.42)	1303	"PREDICTED: Asparagus officinalis probable GPI-anchored adhesin-like protein PGA55 (LOC109848227), transcript variant X3, mRNA"	--	--	--	--	--	GPI
HJ_1-10k_transcript/123831	--	--	K05291|PIGS	http://www.genome.jp/dbget-bin/www_bget?ko:K05291	--	--	XP_020260955.1	1.10E-171	320/434(73.73)	609	GPI transamidase component PIG-S isoform X1 [Asparagus officinalis] 	XM_020405366.1	0	1113/1297(85.81)	1367	"PREDICTED: Asparagus officinalis GPI transamidase component PIG-S (LOC109837218), transcript variant X1, mRNA"	sp|Q3SZL5|PIGS_BOVIN	5.20E-27	121/443(27.31)	124	GPI transamidase component PIG-S OS=Bos taurus GN=PIGS PE=2 SV=3	GPI
HJ_1-10k_transcript/124269	6	GO:0004584: dolichyl-phosphate-mannose-glycolipid alpha-mannosyltransferase activity (molecular_function); GO:0005789: endoplasmic reticulum membrane (cellular_component); GO:0006506: GPI anchor biosynthetic process (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0031501: mannosyltransferase complex (cellular_component); GO:0097502: mannosylation (biological_process);	K07542|PIGV	http://www.genome.jp/dbget-bin/www_bget?ko:K07542	--	--	XP_020256887.1	1.70E-87	168/197(85.28)	330	GPI mannosyltransferase 2 isoform X2 [Asparagus officinalis]	XM_020401298.1	0	492/562(87.54)	6.51E+02	"PREDICTED: Asparagus officinalis GPI mannosyltransferase 2 (LOC109833579), transcript variant X2, mRNA"	sp|Q290J8|PIGV_DROPS	1.00E-11	54/178(30.34)	73	GPI mannosyltransferase 2 OS=Drosophila pseudoobscura pseudoobscura GN=GA19757 PE=3 SV=1	GPI
HJ_1-10k_transcript/154671	3	GO:0004347: glucose-6-phosphate isomerase activity (molecular_function); GO:0006094: gluconeogenesis (biological_process); GO:0006096: glycolytic process (biological_process);	"K01810|GPI, pgi"	http://www.genome.jp/dbget-bin/www_bget?ko:K01810	[G]	Carbohydrate transport and metabolism 	XP_020256261.1	2.00E-263	448/466(96.14)	914	"glucose-6-phosphate isomerase, cytosolic [Asparagus officinalis] "	XM_020400672.1	0	1280/1421(90.08)	1.84E+03	"PREDICTED: Asparagus officinalis glucose-6-phosphate isomerase, cytosolic (LOC109833119), mRNA"	sp|P34795|G6PI_ARATH	9.50E-238	400/465(86.02)	824	"Glucose-6-phosphate isomerase, cytosolic OS=Arabidopsis thaliana GN=PGIC PE=1 SV=1"	GPI
HJ_1-10k_transcript/66709	--	--	K05294|PGAP1	http://www.genome.jp/dbget-bin/www_bget?ko:K05294	--	--	XP_020250018.1	6.40E-63	134/215(62.33)	248	"GPI inositol-deacylase-like, partial [Asparagus officinalis]"	XM_008784785.4	6.00E-126	505/627(80.54)	4.62E+02	"PREDICTED: Phoenix dactylifera uncharacterized LOC103702377 (LOC103702377), transcript variant X2, mRNA"	sp|Q1DWP9|BST1_COCIM	2.90E-11	35/89(39.33)	72	GPI inositol-deacylase OS=Coccidioides immitis (strain RS) GN=BST1 PE=3 SV=1	GPI
HJ_1-10k_transcript/135472	3	GO:0005774: vacuolar membrane (cellular_component); GO:0016255: attachment of GPI anchor to protein (biological_process); GO:0042765: GPI-anchor transamidase complex (cellular_component);	K05291|PIGS	http://www.genome.jp/dbget-bin/www_bget?ko:K05291	--	--	XP_020260955.1	1.70E-127	231/268(86.19)	4.63E+02	GPI transamidase component PIG-S isoform X1 [Asparagus officinalis] 	XM_020405366.1	0	705/805(87.58)	9.33E+02	"PREDICTED: Asparagus officinalis GPI transamidase component PIG-S (LOC109837218), transcript variant X1, mRNA"	sp|Q6PD26|PIGS_MOUSE	3.90E-27	80/257(31.13)	124	GPI transamidase component PIG-S OS=Mus musculus GN=Pigs PE=1 SV=3	GPI
HJ_1-10k_transcript/173871	--	--	--	--	--	--	XP_020273889.1	3.00E-202	356/446(79.82)	711	uncharacterized GPI-anchored protein At1g61900-like isoform X1 [Asparagus officinalis] 	XM_020418300.1	0	1130/1326(85.22)	1.36E+03	"PREDICTED: Asparagus officinalis uncharacterized GPI-anchored protein At1g61900-like (LOC109848674), transcript variant X1, mRNA"	sp|Q8GUI4|UGPI6_ARATH	1.20E-125	214/419(51.07)	451	Uncharacterized GPI-anchored protein At1g61900 OS=Arabidopsis thaliana GN=At1g61900 PE=1 SV=1	GPI
HJ_1-10k_transcript/216508	--	--	--	--	--	--	XP_039127573.1	1.10E-139	245/316(77.53)	503	lysM domain-containing GPI-anchored protein 1-like isoform X1 [Dioscorea cayenensis subsp. rotundata]	XM_020421420.1	0	969/1214(79.82)	8.45E+02	"PREDICTED: Asparagus officinalis lysM domain-containing GPI-anchored protein 1-like (LOC109851338), mRNA"	sp|Q93ZH0|LYM1_ARATH	1.30E-120	218/323(67.49)	434	LysM domain-containing GPI-anchored protein 1 OS=Arabidopsis thaliana GN=LYM1 PE=1 SV=1	GPI
HJ_1-10k_transcript/58099	--	--	"K05310|PIGG, GPI7"	http://www.genome.jp/dbget-bin/www_bget?ko:K05310	--	--	XP_020255888.1	2.50E-94	177/213(83.10)	353	GPI ethanolamine phosphate transferase 2 isoform X1 [Asparagus officinalis]	XM_026532931.1	3.00E-75	335/421(79.57)	2.94E+02	"PREDICTED: Papaver somniferum GPI ethanolamine phosphate transferase 2-like (LOC113283602), transcript variant X4, mRNA"	sp|Q5H8A4|PIGG_HUMAN	3.60E-28	75/204(36.76)	128	GPI ethanolamine phosphate transferase 2 OS=Homo sapiens GN=PIGG PE=1 SV=1	GPI
HJ_1-10k_transcript/57436	5	GO:0005789: endoplasmic reticulum membrane (cellular_component); GO:0006506: GPI anchor biosynthetic process (biological_process); GO:0008484: sulfuric ester hydrolase activity (molecular_function); GO:0016021: integral component of membrane (cellular_component); GO:0016740: transferase activity (molecular_function);	K05285|PIGN	http://www.genome.jp/dbget-bin/www_bget?ko:K05285	--	--	PIA40367.1	3.70E-29	62/69(89.86)	1.36E+02	hypothetical protein AQUCO_02500215v1 [Aquilegia coerulea]	XM_010915189.3	1.00E-48	162/187(86.63)	2.06E+02	"PREDICTED: Elaeis guineensis GPI ethanolamine phosphate transferase 1 (LOC105039157), mRNA"	sp|Q9R1S3|PIGN_MOUSE	1.60E-20	45/69(65.22)	103	GPI ethanolamine phosphate transferase 1 OS=Mus musculus GN=Pign PE=2 SV=2	GPI
HJ_1-10k_transcript/244902	2	GO:0016021: integral component of membrane (cellular_component); GO:0016787: hydrolase activity (molecular_function);	--	--	--	--	XP_038979871.1	4.60E-38	75/95(78.95)	1.65E+02	uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like [Phoenix dactylifera]	HG996475.1	2.00E-44	169/202(83.66)	1.91E+02	"Musa acuminata subsp. malaccensis strain Doubled-haploid Pahang (DH-Pahang) genome assembly, chromosome: A11"	sp|O65399|E131_ARATH	3.40E-21	50/92(54.35)	104	"Glucan endo-1,3-beta-glucosidase 1 OS=Arabidopsis thaliana GN=At1g11820 PE=1 SV=3"	GPI
HJ_1-10k_transcript/113919	--	--	--	--	--	--	XP_020252900.1	1.10E-222	384/463(82.94)	7.79E+02	uncharacterized GPI-anchored protein At1g61900 [Asparagus officinalis] 	XM_020397311.1	0	1349/1605(84.05)	1.52E+03	"PREDICTED: Asparagus officinalis uncharacterized GPI-anchored protein At1g61900 (LOC109830145), transcript variant X1, mRNA"	sp|Q8GUI4|UGPI6_ARATH	7.20E-80	154/354(43.50)	300	Uncharacterized GPI-anchored protein At1g61900 OS=Arabidopsis thaliana GN=At1g61900 PE=1 SV=1	GPI
HJ_1-10k_transcript/8377	--	--	"K03857|PIGA, GPI3"	http://www.genome.jp/dbget-bin/www_bget?ko:K03857	--	--	XP_020277019.1	3.90E-269	496/589(84.21)	934	OBERON-like protein [Asparagus officinalis] 	XM_020421431.1	0	1473/1729(85.19)	1.76E+03	"PREDICTED: Asparagus officinalis OBERON-like protein (LOC109851349), transcript variant X2, mRNA"	sp|Q84N38|PVIP_NICBE	8.40E-183	354/575(61.57)	642	OBERON-like protein OS=Nicotiana benthamiana GN=PVIP PE=1 SV=1	GPI
HJ_1-10k_transcript/26350	--	--	--	--	--	--	XP_020252900.1	1.40E-131	235/287(81.88)	477	uncharacterized GPI-anchored protein At1g61900 [Asparagus officinalis] 	XM_039269950.1	5.00E-143	495/601(82.36)	5.20E+02	"PREDICTED: Dioscorea cayenensis subsp. rotundata uncharacterized GPI-anchored protein At1g61900 (LOC120261929), mRNA"	sp|Q8GUI4|UGPI6_ARATH	2.80E-27	69/169(40.83)	125	Uncharacterized GPI-anchored protein At1g61900 OS=Arabidopsis thaliana GN=At1g61900 PE=1 SV=1	GPI
HJ_1-10k_transcript/168079	1	GO:0016021: integral component of membrane (cellular_component);	--	--	--	--	XP_020246906.1	2.70E-172	280/310(90.32)	6.11E+02	post-GPI attachment to proteins factor 3-like [Asparagus officinalis] 	XM_020391317.1	0	845/957(88.30)	1.15E+03	"PREDICTED: Asparagus officinalis post-GPI attachment to proteins factor 3-like (LOC109824678), mRNA"	sp|A2A559|PGAP3_MOUSE	4.10E-44	107/302(35.43)	181	Post-GPI attachment to proteins factor 3 OS=Mus musculus GN=Pgap3 PE=2 SV=1	GPI
HJ_1-10k_transcript/160713	3	GO:0004347: glucose-6-phosphate isomerase activity (molecular_function); GO:0006094: gluconeogenesis (biological_process); GO:0006096: glycolytic process (biological_process);	"K01810|GPI, pgi"	http://www.genome.jp/dbget-bin/www_bget?ko:K01810	--	--	XP_020255859.1	4.00E-184	325/374(86.90)	651	"glucose-6-phosphate isomerase 1, chloroplastic [Asparagus officinalis]"	XM_020400270.1	0	908/1009(89.99)	1.30E+03	"PREDICTED: Asparagus officinalis glucose-6-phosphate isomerase 1, chloroplastic (LOC109832829), mRNA"	sp|Q8H103|G6PIP_ARATH	2.00E-171	309/408(75.74)	604	"Glucose-6-phosphate isomerase 1, chloroplastic OS=Arabidopsis thaliana GN=PGI1 PE=1 SV=1"	GPI
HJ_1-10k_transcript/295750	--	--	--	--	--	--	XP_020258245.1	2.70E-32	69/97(71.13)	145	"non-specific lipid transfer protein GPI-anchored 2-like, partial [Asparagus officinalis]"	--	--	--	--	--	--	--	--	--	--	GPI
HJ_1-10k_transcript/214469	--	--	K05284|PIGM	http://www.genome.jp/dbget-bin/www_bget?ko:K05284	[G]	Carbohydrate transport and metabolism 	XP_020269846.1	2.30E-113	212/284(74.65)	415	GPI mannosyltransferase 1 [Asparagus officinalis] 	XM_020414257.1	0	1060/1259(84.19)	1210	"PREDICTED: Asparagus officinalis GPI mannosyltransferase 1 (LOC109845072), mRNA"	sp|Q500W7|PIGM_ARATH	6.50E-80	154/279(55.20)	299	GPI mannosyltransferase 1 OS=Arabidopsis thaliana GN=PIGM PE=2 SV=1	GPI
HJ_1-10k_transcript/131486	2	GO:0003676: nucleic acid binding (molecular_function); GO:0046872: metal ion binding (molecular_function);	--	--	[R]	General function prediction only 	PKA48118.1	4.40E-75	130/135(96.30)	288	Zinc finger protein MAGPIE [Apostasia shenzhenica]	LR792822.1	2.00E-150	366/402(91.04)	5.44E+02	Digitaria exilis annotation	sp|Q8RWX7|IDD6_ARATH	9.40E-74	127/153(83.01)	279	"Protein indeterminate-domain 6, chloroplastic OS=Arabidopsis thaliana GN=IDD6 PE=1 SV=1"	GPI
HJ_1-10k_transcript/246501	1	GO:0016021: integral component of membrane (cellular_component);	"K03861|PIGP, GPI19, DSCR5"	http://www.genome.jp/dbget-bin/www_bget?ko:K03861	--	--	XP_020248902.1	4.90E-72	143/181(79.01)	2.78E+02	phosphatidylinositol N-acetylglucosaminyltransferase subunit P-like isoform X1 [Asparagus officinalis] 	--	--	--	--	--	sp|O64792|PIGP_ARATH	3.80E-36	74/127(58.27)	154	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P OS=Arabidopsis thaliana GN=At1g61280 PE=2 SV=1	GPI
HJ_1-10k_transcript/183376	--	--	K03434|PIGL	http://www.genome.jp/dbget-bin/www_bget?ko:K03434	--	--	XP_020273413.1	8.60E-114	197/261(75.48)	417	probable N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase isoform X1 [Asparagus officinalis] 	XM_020417828.1	3.00E-172	636/783(81.23)	6.16E+02	"PREDICTED: Asparagus officinalis probable N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase (LOC109848368), transcript variant X4, mRNA"	sp|Q9HDW9|GPI12_SCHPO	2.20E-36	84/219(38.36)	155	Probable N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=gpi12 PE=3 SV=1	GPI
HJ_1-10k_transcript/200175	2	GO:0016021: integral component of membrane (cellular_component); GO:0016787: hydrolase activity (molecular_function);	--	--	--	--	XP_038979871.1	1.20E-37	74/94(78.72)	1.64E+02	uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like [Phoenix dactylifera]	HG996475.1	2.00E-44	169/202(83.66)	1.91E+02	"Musa acuminata subsp. malaccensis strain Doubled-haploid Pahang (DH-Pahang) genome assembly, chromosome: A11"	sp|O65399|E131_ARATH	4.10E-21	50/92(54.35)	104	"Glucan endo-1,3-beta-glucosidase 1 OS=Arabidopsis thaliana GN=At1g11820 PE=1 SV=3"	GPI
HJ_1-10k_transcript/244659	--	--	--	--	--	--	XP_010904780.1	1.50E-89	188/306(61.44)	3.36E+02	uncharacterized GPI-anchored protein At4g28100 [Elaeis guineensis]	XM_010925740.3	6.00E-54	423/563(75.13)	2.22E+02	"PREDICTED: Elaeis guineensis uncharacterized GPI-anchored protein At4g28100 (LOC105046980), mRNA"	sp|Q9SUC9|UGPI7_ARATH	9.60E-80	170/275(61.82)	298	Uncharacterized GPI-anchored protein At4g28100 OS=Arabidopsis thaliana GN=At4g28100 PE=1 SV=1	GPI
HJ_1-10k_transcript/37442	--	--	--	--	--	--	XP_020252900.1	1.30E-131	235/287(81.88)	4.77E+02	uncharacterized GPI-anchored protein At1g61900 [Asparagus officinalis] 	XM_039269950.1	4.00E-143	495/601(82.36)	5.20E+02	"PREDICTED: Dioscorea cayenensis subsp. rotundata uncharacterized GPI-anchored protein At1g61900 (LOC120261929), mRNA"	sp|Q8GUI4|UGPI6_ARATH	7.80E-32	70/133(52.63)	141	Uncharacterized GPI-anchored protein At1g61900 OS=Arabidopsis thaliana GN=At1g61900 PE=1 SV=1	GPI
HJ_1-10k_transcript/127154	--	--	K05291|PIGS	http://www.genome.jp/dbget-bin/www_bget?ko:K05291	--	--	XP_020260955.1	6.20E-85	216/380(56.84)	3.21E+02	GPI transamidase component PIG-S isoform X1 [Asparagus officinalis] 	XM_020405366.1	0	706/806(87.59)	9.33E+02	"PREDICTED: Asparagus officinalis GPI transamidase component PIG-S (LOC109837218), transcript variant X1, mRNA"	--	--	--	--	--	GPI
HJ_1-10k_transcript/93657	--	--	--	--	--	--	XP_020273889.1	1.30E-160	301/378(79.63)	573	uncharacterized GPI-anchored protein At1g61900-like isoform X1 [Asparagus officinalis] 	XM_020418301.1	0	906/1058(85.63)	1112	"PREDICTED: Asparagus officinalis uncharacterized GPI-anchored protein At1g61900-like (LOC109848674), transcript variant X2, mRNA"	sp|Q8GUI4|UGPI6_ARATH	8.50E-95	172/329(52.28)	349	Uncharacterized GPI-anchored protein At1g61900 OS=Arabidopsis thaliana GN=At1g61900 PE=1 SV=1	GPI
HJ_1-10k_transcript/144451	3	GO:0004347: glucose-6-phosphate isomerase activity (molecular_function); GO:0006094: gluconeogenesis (biological_process); GO:0006096: glycolytic process (biological_process);	"K01810|GPI, pgi"	http://www.genome.jp/dbget-bin/www_bget?ko:K01810	--	--	XP_008811018.2	1.20E-303	527/624(84.46)	1048	"glucose-6-phosphate isomerase 1, chloroplastic [Phoenix dactylifera]"	XM_020400270.1	0	1459/1636(89.18)	2.04E+03	"PREDICTED: Asparagus officinalis glucose-6-phosphate isomerase 1, chloroplastic (LOC109832829), mRNA"	sp|Q8H103|G6PIP_ARATH	5.20E-287	487/615(79.19)	988	"Glucose-6-phosphate isomerase 1, chloroplastic OS=Arabidopsis thaliana GN=PGI1 PE=1 SV=1"	GPI
HJ_1-10k_transcript/133336	--	--	--	--	--	--	XP_020273889.1	5.40E-206	374/446(83.86)	723	uncharacterized GPI-anchored protein At1g61900-like isoform X1 [Asparagus officinalis] 	XM_020418300.1	0	1140/1326(85.97)	1.42E+03	"PREDICTED: Asparagus officinalis uncharacterized GPI-anchored protein At1g61900-like (LOC109848674), transcript variant X1, mRNA"	sp|Q8GUI4|UGPI6_ARATH	2.10E-126	227/420(54.05)	454	Uncharacterized GPI-anchored protein At1g61900 OS=Arabidopsis thaliana GN=At1g61900 PE=1 SV=1	GPI
HJ_1-10k_transcript/252724	3	GO:0004347: glucose-6-phosphate isomerase activity (molecular_function); GO:0006094: gluconeogenesis (biological_process); GO:0006096: glycolytic process (biological_process);	"K01810|GPI, pgi"	http://www.genome.jp/dbget-bin/www_bget?ko:K01810	--	--	XP_019156409.1	1.80E-185	316/335(94.33)	654	"PREDICTED: glucose-6-phosphate isomerase 1, chloroplastic [Ipomoea nil]"	XM_020400270.1	0	903/1010(89.41)	1.27E+03	"PREDICTED: Asparagus officinalis glucose-6-phosphate isomerase 1, chloroplastic (LOC109832829), mRNA"	sp|Q8H103|G6PIP_ARATH	1.00E-176	292/335(87.16)	620	"Glucose-6-phosphate isomerase 1, chloroplastic OS=Arabidopsis thaliana GN=PGI1 PE=1 SV=1"	GPI
HJ_1-10k_transcript/1674	--	--	"K03857|PIGA, GPI3"	http://www.genome.jp/dbget-bin/www_bget?ko:K03857	--	--	ONK59827.1	1.50E-39	78/97(80.41)	172	uncharacterized protein A4U43_C08F11230 [Asparagus officinalis]	XM_020386044.1	5.00E-60	164/180(91.11)	2.44E+02	"PREDICTED: Asparagus officinalis phosphatidylinositol N-acetylglucosaminyltransferase subunit A (LOC109820009), transcript variant X3, mRNA"	sp|P37287|PIGA_HUMAN	2.50E-11	35/59(59.32)	73	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A OS=Homo sapiens GN=PIGA PE=1 SV=1	GPI
HJ_1-10k_transcript/286725	1	GO:0016021: integral component of membrane (cellular_component);	--	--	--	--	XP_020246906.1	3.00E-157	259/285(90.88)	5.60E+02	post-GPI attachment to proteins factor 3-like [Asparagus officinalis] 	XM_020391317.1	0	759/855(88.77)	1.05E+03	"PREDICTED: Asparagus officinalis post-GPI attachment to proteins factor 3-like (LOC109824678), mRNA"	sp|A8WFS8|PGAP3_DANRE	5.60E-43	99/265(37.36)	176	Post-GPI attachment to proteins factor 3 OS=Danio rerio GN=pgap3 PE=2 SV=1	GPI
HJ_1-10k_transcript/269545	--	--	"K03858|PIGH, GPI15"	http://www.genome.jp/dbget-bin/www_bget?ko:K03858	--	--	XP_020267200.1	2.20E-36	84/108(77.78)	159	uncharacterized protein LOC109842740 [Asparagus officinalis] 	--	--	--	--	--	--	--	--	--	--	GPI
HJ_1-10k_transcript/216651	--	--	--	--	[R]	General function prediction only 	XP_020250876.1	3.10E-131	277/414(66.91)	474	protein indeterminate-domain 11-like [Asparagus officinalis] 	XM_020241526.1	6.00E-174	569/681(83.55)	621	"PREDICTED: Ananas comosus protein indeterminate-domain 7 (LOC109716197), mRNA"	sp|Q9ZWA6|IDD3_ARATH	1.80E-79	142/186(76.34)	298	Zinc finger protein MAGPIE OS=Arabidopsis thaliana GN=MGP PE=1 SV=1	GPI
HJ_1-10k_transcript/112312	7	GO:0000030: mannosyltransferase activity (molecular_function); GO:0005783: endoplasmic reticulum (cellular_component); GO:0009793: embryo development ending in seed dormancy (biological_process); GO:0010183: pollen tube guidance (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0090406: pollen tube (cellular_component); GO:0097502: mannosylation (biological_process);	K05286|PIGB	http://www.genome.jp/dbget-bin/www_bget?ko:K05286	--	--	XP_020277329.1	1.10E-161	277/345(80.29)	5.76E+02	GPI mannosyltransferase 3 [Asparagus officinalis] 	XM_020421740.1	0	875/1047(83.57)	9.72E+02	"PREDICTED: Asparagus officinalis GPI mannosyltransferase 3 (LOC109851546), mRNA"	sp|Q1LZA0|PIGB_BOVIN	8.20E-68	131/309(42.39)	260	GPI mannosyltransferase 3 OS=Bos taurus GN=PIGB PE=2 SV=1	GPI
HJ_1-10k_transcript/36806	--	--	"K05310|PIGG, GPI7"	http://www.genome.jp/dbget-bin/www_bget?ko:K05310	--	--	XP_020255888.1	7.00E-133	242/292(82.88)	481	GPI ethanolamine phosphate transferase 2 isoform X1 [Asparagus officinalis]	XM_020400299.1	0	733/878(83.49)	8.13E+02	"PREDICTED: Asparagus officinalis GPI ethanolamine phosphate transferase 2 (LOC109832848), transcript variant X1, mRNA"	sp|Q5H8A4|PIGG_HUMAN	4.40E-51	114/280(40.71)	204	GPI ethanolamine phosphate transferase 2 OS=Homo sapiens GN=PIGG PE=1 SV=1	GPI
HJ_1-10k_transcript/156518	--	--	K05294|PGAP1	http://www.genome.jp/dbget-bin/www_bget?ko:K05294	--	--	XP_038983869.1	9.30E-189	325/436(74.54)	666	uncharacterized protein LOC103702377 isoform X1 [Phoenix dactylifera]	XM_020394429.1	0	1040/1210(85.95)	1.28E+03	"PREDICTED: Asparagus officinalis GPI inositol-deacylase-like (LOC109827416), partial mRNA"	sp|Q5AYC8|BST1_EMENI	2.90E-37	117/363(32.23)	158	GPI inositol-deacylase OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=bst1 PE=3 SV=2	GPI
HJ_1-10k_transcript/158266	7	GO:0000030: mannosyltransferase activity (molecular_function); GO:0005783: endoplasmic reticulum (cellular_component); GO:0009793: embryo development ending in seed dormancy (biological_process); GO:0010183: pollen tube guidance (biological_process); GO:0016021: integral component of membrane (cellular_component); GO:0090406: pollen tube (cellular_component); GO:0097502: mannosylation (biological_process);	K05286|PIGB	http://www.genome.jp/dbget-bin/www_bget?ko:K05286	--	--	XP_020277329.1	7.10E-189	325/389(83.55)	666	GPI mannosyltransferase 3 [Asparagus officinalis] 	XM_020421740.1	0	1097/1321(83.04)	1.17E+03	"PREDICTED: Asparagus officinalis GPI mannosyltransferase 3 (LOC109851546), mRNA"	sp|Q9JJQ0|PIGB_MOUSE	9.30E-68	157/391(40.15)	259	GPI mannosyltransferase 3 OS=Mus musculus GN=Pigb PE=2 SV=2	GPI
HJ_1-10k_transcript/32244	5	GO:0005789: endoplasmic reticulum membrane (cellular_component); GO:0006506: GPI anchor biosynthetic process (biological_process); GO:0008484: sulfuric ester hydrolase activity (molecular_function); GO:0016021: integral component of membrane (cellular_component); GO:0016740: transferase activity (molecular_function);	K05285|PIGN	http://www.genome.jp/dbget-bin/www_bget?ko:K05285	--	--	XP_022774430.1	2.70E-23	49/53(92.45)	117	GPI ethanolamine phosphate transferase 1 isoform X2 [Durio zibethinus]	XM_009383351.2	3.00E-26	154/192(80.21)	1.32E+02	"PREDICTED: Musa acuminata subsp. malaccensis GPI ethanolamine phosphate transferase 1 (LOC103969715), mRNA"	sp|Q9R1S3|PIGN_MOUSE	3.20E-12	34/56(60.71)	75	GPI ethanolamine phosphate transferase 1 OS=Mus musculus GN=Pign PE=2 SV=2	GPI
HJ_1-10k_transcript/75933	--	--	"K05310|PIGG, GPI7"	http://www.genome.jp/dbget-bin/www_bget?ko:K05310	--	--	XP_020255888.1	1.20E-93	176/213(82.63)	3.50E+02	GPI ethanolamine phosphate transferase 2 isoform X1 [Asparagus officinalis]	XM_026532931.1	2.00E-76	340/427(79.63)	2.98E+02	"PREDICTED: Papaver somniferum GPI ethanolamine phosphate transferase 2-like (LOC113283602), transcript variant X4, mRNA"	sp|Q5H8A4|PIGG_HUMAN	3.30E-28	75/204(36.76)	128	GPI ethanolamine phosphate transferase 2 OS=Homo sapiens GN=PIGG PE=1 SV=1	GPI
HJ_1-10k_transcript/121623	2	GO:0016255: attachment of GPI anchor to protein (biological_process); GO:0042765: GPI-anchor transamidase complex (cellular_component);	K05292|PIGT	http://www.genome.jp/dbget-bin/www_bget?ko:K05292	--	--	XP_020245161.1	6.70E-268	471/573(82.20)	9.29E+02	LOW QUALITY PROTEIN: GPI transamidase component PIG-T [Asparagus officinalis]	XM_020389572.1	0	910/1081(84.18)	1.04E+03	"PREDICTED: Asparagus officinalis GPI transamidase component PIG-T (LOC109823287), mRNA"	sp|Q969N2|PIGT_HUMAN	2.60E-74	189/565(33.45)	281	GPI transamidase component PIG-T OS=Homo sapiens GN=PIGT PE=1 SV=1	GPI
HJ_1-10k_transcript/30325	2	GO:0006506: GPI anchor biosynthetic process (biological_process); GO:0016021: integral component of membrane (cellular_component);	K05293|PIGU	http://www.genome.jp/dbget-bin/www_bget?ko:K05293	--	--	XP_020248402.1	1.70E-145	265/321(82.55)	523	phosphatidylinositol glycan anchor biosynthesis class U protein-like isoform X2 [Asparagus officinalis]	XM_020392812.1	0	1061/1250(84.88)	1.24E+03	"PREDICTED: Asparagus officinalis phosphatidylinositol glycan anchor biosynthesis class U protein-like (LOC109825899), transcript variant X1, mRNA"	sp|Q9H490|PIGU_HUMAN	1.60E-32	101/271(37.27)	143	Phosphatidylinositol glycan anchor biosynthesis class U protein OS=Homo sapiens GN=PIGU PE=1 SV=3	GPI
HJ_1-10k_transcript/207426	2	GO:0006506: GPI anchor biosynthetic process (biological_process); GO:0016021: integral component of membrane (cellular_component);	K05293|PIGU	http://www.genome.jp/dbget-bin/www_bget?ko:K05293	--	--	XP_020248402.1	3.70E-167	302/363(83.20)	594	phosphatidylinositol glycan anchor biosynthesis class U protein-like isoform X2 [Asparagus officinalis]	XM_020392812.1	0	1161/1368(84.87)	1.35E+03	"PREDICTED: Asparagus officinalis phosphatidylinositol glycan anchor biosynthesis class U protein-like (LOC109825899), transcript variant X1, mRNA"	sp|Q9H490|PIGU_HUMAN	3.70E-38	106/305(34.75)	161	Phosphatidylinositol glycan anchor biosynthesis class U protein OS=Homo sapiens GN=PIGU PE=1 SV=3	GPI
HJ_1-10k_transcript/250787	1	GO:0016021: integral component of membrane (cellular_component);	--	--	--	--	XP_020246906.1	9.20E-190	306/342(89.47)	669	post-GPI attachment to proteins factor 3-like [Asparagus officinalis] 	XM_020391317.1	0	929/1055(88.06)	1.25E+03	"PREDICTED: Asparagus officinalis post-GPI attachment to proteins factor 3-like (LOC109824678), mRNA"	sp|A8WFS8|PGAP3_DANRE	3.60E-49	115/324(35.49)	197	Post-GPI attachment to proteins factor 3 OS=Danio rerio GN=pgap3 PE=2 SV=1	GPI
HJ_1-10k_transcript/135077	--	--	K05285|PIGN	http://www.genome.jp/dbget-bin/www_bget?ko:K05285	--	--	PKA57925.1	3.20E-147	245/279(87.81)	528	"phosphatidylinositol glycan, class N [Apostasia shenzhenica]"	XM_010915189.3	0	681/830(82.05)	7.06E+02	"PREDICTED: Elaeis guineensis GPI ethanolamine phosphate transferase 1 (LOC105039157), mRNA"	sp|Q5A3M6|MCD4_CANAL	5.70E-76	141/276(51.09)	287	GPI ethanolamine phosphate transferase 1 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) GN=MCD4 PE=3 SV=1	GPI
